algorithm_variant,applied_fov_radius,applied_global_solver,applied_hard_safety,applied_horizon,applied_replan_every,applied_safety_radius,applied_task_allocator,arrival_rate_per_step,assignments_broken,assignments_kept,collisions_agent_agent,collisions_agent_exogenous,collisions_agent_human,collisions_agent_human_vertex,communication_mode,completed_tasks,deadlock_count,delay_events,delay_wait_steps,error_msg,experiment,fallback_reuse_count,fov_radius,global_no_progress_steps,global_replans,global_solver,guidance_coverage,guidance_covered_ticks,guidance_eligible_ticks,guidance_follow_rate,guidance_followed_ticks,hard_safety,horizon,human_model,human_passive_wait_steps,humans_block_on_agent_cells,immediate_assignments,intervention_rate,local_planner,local_replans,log_violations_timeline,makespan,map_path,map_to_human_model,max_flowtime,max_global_no_progress_streak,max_planning_time_ms,mean_assignment_path_overlap,mean_decision_time_ms,mean_flowtime,mean_planning_time_ms,mean_service_time,mean_task_completion_span,median_flowtime,method,mode,n_multiagent_allocation_rounds,near_misses,num_agents,num_humans,p95_decision_time_ms,p95_planning_time_ms,physics_revert_wait_steps,replan_every,replans,run_id,run_valid,safe_wait_steps,safety_radius,safety_violation_agent_ticks,safety_violation_events,safety_violation_rate,safety_violation_rate_per_agent_step,safety_violations,seed,solver_errors,solver_fail_fraction,solver_fallback_reuses,solver_partial_returns,solver_timeout_s,solver_timeouts,status,steps,sum_assignment_path_overlap,sum_of_costs,task_allocator,task_completion,throughput,throughput_timeline_len,throughput_utilization,total_released_tasks,total_wait_steps,validity_reason,validity_threshold,violations_agent_attributable,violations_agent_attributable_agent_ticks,violations_agent_attributable_events,violations_agent_timeline_len,violations_def1_agent_attributable,violations_def1_agent_attributable_d0,violations_def1_agent_attributable_dgt0,violations_def1_exogenous_attributable,violations_def1_exogenous_attributable_d0,violations_def1_exogenous_attributable_dgt0,violations_def1_response_attributable,violations_def1_safety_violations,violations_exogenous_attributable,violations_exogenous_attributable_agent_ticks,violations_exogenous_attributable_events,violations_exogenous_timeline_len,wait_fraction,wall_clock_s,yield_wait_steps
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.392,0,775,0,0,0,417,priority,775,18,0,0,,diagnostic_probe_false_evade,0,4,0,98,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,117,False,0,49.0,astar,4768,False,1996,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",631.0,0,159.88870199998928,0.035398230088495575,318.7720493994926,151.69548387096773,40.879244642810036,151.04387096774192,151.69548387096773,139.0,ours,lifelong,87,0,100,50,728.6163881996799,61.62709389996052,726,40,4866,8c882871ad2b7e7a87ade21123e5336a0e679d797b4d22979bc2c08a486dd318,False,1571,1,1685,811,842.5,0.008425,1685,1,0,0.0,0,0,30.0,0,ok,2000,72.0,117059,congestion_avoidance,0.9885204081632653,0.3875,2000,0.9885204081632653,784,16975,deadlock-fraction,0.05,0,0,0,0,0,0,0,1117,331,786,568,1685,1685,1685,811,0,0.084875,652.3423,14678
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.403,0,786,0,0,0,409,priority,786,17,0,0,,diagnostic_probe_false_evade,0,4,0,103,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,137,False,0,51.5,astar,4811,False,1975,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",548.0,0,84.80413800043607,0.027330405075646658,321.7633305704957,148.39567430025446,39.10055477670151,147.3269720101781,148.39567430025446,136.5,ours,lifelong,93,0,100,50,741.0781189500995,59.766673099875334,755,40,4914,cb8b8abbd592831c4fc53f005d7e3377bae16cd51d369f588f9872bab7443de4,False,1607,1,1702,814,851.0,0.00851,1702,2,0,0.0,0,0,30.0,0,ok,2000,56.0,115799,congestion_avoidance,0.9751861042183623,0.393,2000,0.9751861042183623,806,16696,deadlock-fraction,0.05,0,0,0,0,0,0,0,1137,316,821,565,1702,1702,1702,814,0,0.08348,658.0633,14334
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.4025,0,791,0,0,0,409,priority,791,23,0,0,,diagnostic_probe_false_evade,0,4,0,104,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,90,False,0,52.0,astar,4891,False,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",634.0,0,87.84155699959229,0.02785923753665689,328.88756825700506,152.72313527180785,40.88200208652255,152.0568900126422,152.72313527180785,141.0,ours,lifelong,93,0,100,50,752.7739009997276,63.05286810033975,1176,40,4995,74f426272f99c86f2b84a9ed3b8d4aeb0ed16363236cf07a0594634af63cdeb5,False,2027,1,1705,844,852.5,0.008525,1705,0,0,0.0,0,0,30.0,0,ok,2000,57.0,120277,congestion_avoidance,0.9826086956521739,0.3955,2000,0.9826086956521739,805,18407,deadlock-fraction,0.05,0,0,0,0,0,0,0,1174,351,823,531,1705,1705,1705,844,0,0.092035,672.4529,15204
evade,4,lacam_official,True,60,30,1,congestion_avoidance,0.4025,0,795,0,0,0,527,priority,795,22,0,0,,diagnostic_probe_false_evade,0,4,0,110,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,137,False,0,55.0,astar,4790,False,1990,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",779.0,0,76.44090000030701,0.02791380999020568,331.0470435799867,151.81635220125787,40.4080669364124,151.05157232704403,151.81635220125787,140.0,ours,lifelong,95,0,100,50,740.6735109004785,59.72229414992398,685,30,4900,94fdb15a2f45bf68eb6d88f580d3aeede59c5c9e9603611b1deacc585f41ca4d,False,2183,1,2108,978,1054.0,0.01054,2108,0,0,0.0,0,0,30.0,0,ok,2000,57.0,120086,congestion_avoidance,0.9875776397515528,0.3975,2000,0.9875776397515528,805,16192,deadlock-fraction,0.05,0,0,0,0,0,0,0,1415,440,975,693,2108,2108,2108,978,0,0.08096,676.8942,13324
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.2985,0,589,0,0,0,387,priority,589,11,0,0,,diagnostic_probe_false_evade,0,4,0,106,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,95,False,0,53.0,astar,3800,False,1993,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",732.0,0,61.39888300003804,0.018968871595330738,219.6394137279908,151.26825127334465,31.71360153771086,149.4634974533107,151.26825127334465,144.0,ours,lifelong,55,0,75,50,563.956246150019,41.857758000105605,453,40,3906,1edcea729956db3792fd798739261f65fdc2804931fdb5a32ae54bb865c87dd1,False,1379,1,1455,653,727.5,0.0097,1455,1,0,0.0,0,0,30.0,0,ok,2000,39.0,88034,congestion_avoidance,0.9865996649916248,0.2945,2000,0.9865996649916248,597,10227,deadlock-fraction,0.05,0,0,0,0,0,0,0,956,313,643,499,1455,1455,1455,653,0,0.06818,450.7001,8395
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.2925,0,579,0,0,0,320,priority,579,35,0,0,,diagnostic_probe_false_evade,5,4,0,102,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,79,False,0,51.0,astar,4117,False,1982,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",548.0,0,35731.227735000175,0.026634382566585957,313.90455427100324,164.44214162348877,1780.6387921960227,161.11053540587218,164.44214162348877,156.0,ours,lifelong,54,0,75,50,556.5589646501849,121.48045309977442,542,40,4219,a0479a6cf2bc36a4f938f42f294090b7afa7f58ccdb34287c2fb06f3bdc10a9f,False,1754,1,1342,654,671.0,0.008946666666666667,1342,0,0,0.04902,5,0,30.0,5,ok,2000,55.0,93283,congestion_avoidance,0.9897435897435898,0.2895,2000,0.9897435897435898,585,15090,deadlock-fraction,0.05,0,0,0,0,0,0,0,788,239,549,554,1342,1342,1342,654,0,0.1006,638.9255,12794
evade,4,lacam_official,True,60,30,1,congestion_avoidance,0.403,0,787,0,0,0,421,priority,787,23,0,0,,diagnostic_probe_false_evade,0,4,0,111,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,130,False,0,55.5,astar,5064,False,1996,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",621.0,0,144.75890200083086,0.02681618722574354,319.4139686915005,151.06353240152478,40.10363437840636,149.87674714104193,151.06353240152478,135.0,ours,lifelong,93,0,100,50,739.5780421496511,55.71017300007952,798,30,5175,5b98b1a1ad95aee4e5a72e5e620cf45deed98788f829bb6da6ef9d64d7a89b33,False,1560,1,1731,832,865.5,0.008655,1731,2,0,0.0,0,0,30.0,0,ok,2000,55.0,117953,congestion_avoidance,0.9764267990074442,0.3935,2000,0.9764267990074441,806,17370,deadlock-fraction,0.05,0,0,0,0,0,0,0,1174,340,834,557,1731,1731,1731,832,0,0.08685,653.7687,15012
evade,4,lacam_official,True,60,30,1,congestion_avoidance,0.392,0,771,0,0,0,415,priority,771,18,0,0,,diagnostic_probe_false_evade,0,4,0,106,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,130,False,0,53.0,astar,4940,False,1995,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",929.0,0,87.52301799995621,0.03388998035363458,329.5105190264935,150.49156939040208,37.84432939619364,149.74837872892348,150.49156939040208,136.0,ours,lifelong,86,0,100,50,751.6361052500997,52.57786075026161,714,30,5046,9fabc3ed8d2f584c54994af13aa71619f0b6981f354c430af8c52fa1ed4d6d9b,False,1853,1,1677,798,838.5,0.008385,1677,1,0,0.0,0,0,30.0,0,ok,2000,69.0,115456,congestion_avoidance,0.9834183673469388,0.3855,2000,0.9834183673469388,784,14875,deadlock-fraction,0.05,0,0,0,0,0,0,0,1111,329,782,566,1677,1677,1677,798,0,0.074375,673.7261,12308
evade,4,lacam_official,True,80,40,1,congestion_avoidance,0.3095,0,610,0,0,0,461,priority,610,9,0,0,,diagnostic_probe_false_evade,0,4,0,108,lacam_official,0.0,0,0,0.0,0,True,80,random_walk,130,False,0,54.0,astar,3869,False,1998,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",481.0,0,82.73098599966033,0.024916147580258743,220.09433360599814,150.61475409836066,34.808806740708555,149.10655737704917,150.61475409836066,138.0,ours,lifelong,48,0,75,50,558.6307610497897,52.45286069985013,344,40,3977,a1940599e8442233c04b2d428fd0ac53d925f7447803f5234b84a8efb46e15f5,False,1316,1,1919,927,959.5,0.012793333333333334,1919,2,0,0.0,0,0,30.0,0,ok,2000,52.0,90955,congestion_avoidance,0.9854604200323102,0.305,2000,0.9854604200323102,619,8915,deadlock-fraction,0.05,0,0,0,0,0,0,0,1328,400,928,591,1919,1919,1919,927,0,0.05943333333333333,451.5338,7255
evade,4,lacam_official,True,60,30,1,congestion_avoidance,0.2985,0,590,0,0,0,357,priority,590,10,0,0,,diagnostic_probe_false_evade,0,4,0,112,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,91,False,0,56.0,astar,3803,False,1999,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",648.0,0,79.90034500016918,0.02279340446168768,216.33730739450039,149.73898305084745,32.61100985713483,147.43050847457627,149.73898305084745,143.5,ours,lifelong,53,0,75,50,563.2809151499714,42.99232809967178,520,30,3915,2b23417b28b9c234a0395f28977bf402de3b06359aa89001323588df0cc7a514,False,1287,1,1401,654,700.5,0.00934,1401,1,0,0.0,0,0,30.0,0,ok,2000,47.0,86984,congestion_avoidance,0.9882747068676717,0.295,2000,0.9882747068676717,597,9464,deadlock-fraction,0.05,0,0,0,0,0,0,0,912,283,629,489,1401,1401,1401,654,0,0.06309333333333333,443.9651,7657
evade,4,lacam_official,True,60,30,1,congestion_avoidance,0.3095,0,606,0,0,0,408,priority,606,13,0,0,,diagnostic_probe_false_evade,0,4,0,108,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,123,False,0,54.0,astar,3761,False,1980,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",461.0,0,53.829727999982424,0.025,215.359096387504,149.4009900990099,32.037278805495994,147.93234323432344,149.4009900990099,137.0,ours,lifelong,48,0,75,50,536.8764411000484,46.448700699966125,475,30,3869,9dbe7aabb2e3d9c56d794f81f5ccc589891fce571fe54c72f8c71402a4ea3bf1,False,1228,1,1758,875,879.0,0.01172,1758,2,0,0.0,0,0,30.0,0,ok,2000,52.0,89647,congestion_avoidance,0.9789983844911146,0.303,2000,0.9789983844911146,619,9856,deadlock-fraction,0.05,0,0,0,0,0,0,0,1274,365,909,484,1758,1758,1758,875,0,0.06570666666666666,441.5636,8153
evade,4,lacam_official,True,60,30,1,congestion_avoidance,0.2925,0,575,0,0,0,309,priority,575,11,0,0,,diagnostic_probe_false_evade,3,4,0,118,lacam_official,0.0,0,0,0.0,0,True,60,random_walk,78,False,0,59.0,astar,4345,False,1978,data/maps/warehouse-10-20-10-2-2.map,"{""random-64-64-10"": ""random_walk"", ""warehouse-10-20-10-2-1"": ""aisle"", ""warehouse-10-20-10-2-2"": ""aisle""}",553.0,0,36025.544911,0.027281746031746032,284.45442299699107,155.03478260869565,945.7965519491771,154.61391304347825,155.03478260869565,147.0,ours,lifelong,58,0,75,50,545.6716039500407,46.965886650241366,898,30,4463,67431911588d601fefbba40d81b52d28897514691c370cf326217dc05d74366a,False,1664,1,1271,615,635.5,0.008473333333333333,1271,0,0,0.025424,3,0,30.0,3,ok,2000,55.0,88903,congestion_avoidance,0.9829059829059829,0.2875,2000,0.9829059829059829,585,10921,deadlock-fraction,0.05,0,0,0,0,0,0,0,867,264,603,404,1271,1271,1271,615,0,0.07280666666666667,580.1849,8359
